,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Train top-3 accuracy,Test loss,Test accuracy,Test top-3 accuracy
0,0.0,167.01163721084595,0.427139737112138,1.4742633092129016,0.45769261505902575,0.7882033248081841,1.1977987945834292,0.5642800632911392,0.8623417721518988
1,1.0,155.06465578079224,0.3965847973933305,1.0831466032111126,0.6088954603580563,0.8838395140664962,1.024603463426421,0.6302412974683544,0.9007120253164557
2,2.0,155.2467815876007,0.397050592295654,0.9118255300595023,0.677465633053304,0.9127277813299232,0.8480648911451991,0.704806170886076,0.9350276898734177
3,3.0,155.337468624115,0.39728252845042195,0.7908878556602751,0.7203564578309998,0.9326366687979539,0.8249461122705967,0.7121242088607594,0.9364121835443038
4,4.0,156.967764377594,0.4014520828071458,0.7000598162793747,0.7551110934113603,0.9451566496163682,0.618591836736172,0.7820411392405063,0.9583662974683544
5,5.0,158.38257551193237,0.4050705256059651,0.6341715016785789,0.7778053068748826,0.9530091112531969,0.617485181440281,0.789754746835443,0.959256329113924
6,6.0,159.67289805412292,0.4083705832586264,0.5662519663496091,0.8024816176165706,0.9616727941176472,0.5649567800986616,0.805379746835443,0.960245253164557
7,7.0,166.21684050559998,0.42510700896572884,0.522843861976243,0.8164162404092071,0.9662843670076726,0.4912563407722908,0.8314873417721519,0.9688488924050633
8,8.0,156.56343245506287,0.40041798581857513,0.4856015494869798,0.8305226982097187,0.9698569373401534,0.5066458828087095,0.8276305379746836,0.9696400316455697
9,9.0,152.7825469970703,0.390748202038543,0.44603916606329896,0.8432784527159103,0.9747082800511508,0.4497078261043452,0.8470134493670886,0.9736946202531646
