,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Train top-3 accuracy,Test loss,Test accuracy,Test top-3 accuracy
0,0.0,158.5957386493683,0.20280784993525355,1.49630448877659,0.4500079923273657,0.7854259910485933,1.1835758241878194,0.5665804140127388,0.86046974522293
1,1.0,160.50046706199646,0.20524356401789828,1.1052539363084242,0.6028412723785166,0.8800151854219949,0.970439476951672,0.6582404458598726,0.9067476114649682
2,2.0,160.4349992275238,0.20515984555949335,0.9343520364797938,0.6699968030690537,0.9097466432225064,0.8884703346118805,0.6979498407643312,0.9184912420382165
3,3.0,160.65700125694275,0.20544373562268894,0.8199456745706251,0.7095388427109974,0.9272298593350383,0.7267859266821746,0.7476114649681529,0.9413813694267515
4,4.0,160.8410005569458,0.20567902884519923,0.7237265949587688,0.7452046035805626,0.9418757992327366,0.6556410483873574,0.7736863057324841,0.9548168789808917
5,5.0,161.11599946022034,0.20603068984682907,0.6487895474790613,0.7742766943734015,0.9523257672634271,0.5791006689997995,0.7980692675159236,0.9624800955414012
6,6.0,161.14201307296753,0.2060639553362756,0.5905848384246497,0.7934183184143222,0.9578005115089514,0.5259335785155084,0.8202627388535032,0.9662619426751592
7,7.0,161.1919994354248,0.2061278765158885,0.5411515985913289,0.812440057544757,0.96403452685422,0.48989044685082833,0.8297173566878981,0.9693471337579618
8,8.0,161.3110008239746,0.2062800522045711,0.4987599923253974,0.8263666879795396,0.9691296355498721,0.4635730631602038,0.8383757961783439,0.9735270700636943
9,9.0,161.36600065231323,0.2063503844658737,0.4585315346374841,0.8414921675191815,0.9727261828644501,0.42194798237578884,0.8536027070063694,0.9786027070063694
10,10.0,161.46900272369385,0.20648210066968523,0.42857818006325865,0.8496443414322251,0.9758232097186701,0.38888727318329414,0.8654458598726115,0.9788017515923567
11,11.0,161.44272208213806,0.206448493711174,0.396438016306104,0.8615728900255755,0.9786604859335039,0.410701744116036,0.8638535031847133,0.977109872611465
12,12.0,159.58997344970703,0.20407924993568674,0.36998829781018255,0.8705842391304348,0.981337915601023,0.41650231296469453,0.8614649681528662,0.9784036624203821
13,13.0,156.37442779541016,0.19996729897111273,0.3505792890954048,0.8772977941176471,0.9827165920716112,0.3823870525333532,0.8688296178343949,0.9820859872611465
14,14.0,156.46154737472534,0.20007870508276898,0.32667564394910015,0.885969469309463,0.9849744245524297,0.38935043420761256,0.8724124203821656,0.9794984076433121
15,15.0,158.37213349342346,0.20252190983813742,0.3114366396747129,0.8910645780051151,0.9860933503836317,0.3852498823670065,0.8713176751592356,0.9804936305732485
16,16.0,158.6482915878296,0.20287505318136775,0.29119050694281795,0.8970388427109974,0.9874920076726342,0.39020023471230914,0.8729100318471338,0.9827826433121019
17,17.0,158.02965354919434,0.2020839559452613,0.28012620975904146,0.9005155051150895,0.9884510869565217,0.34590819269228895,0.8851512738853503,0.9831807324840764
18,18.0,159.33277130126953,0.20375034693256974,0.25355277517262625,0.909406969309463,0.9898097826086957,0.3518805717396888,0.887937898089172,0.9836783439490446
19,19.0,160.57012724876404,0.20533264354061898,0.23880428052924174,0.9159806585677749,0.9909087276214834,0.33873789681560673,0.8909235668789809,0.9836783439490446
20,20.0,158.9956521987915,0.20331924833605053,0.22793790519885396,0.9184183184143222,0.9918278452685422,0.34435842836358743,0.8905254777070064,0.9836783439490446
21,21.0,156.437912940979,0.20004848202171227,0.21225117510446653,0.9251118925831202,0.9928868286445013,0.3403064346142635,0.8918192675159236,0.9868630573248408
22,22.0,156.57799887657166,0.20022762004676684,0.20196962443268512,0.9276894181585678,0.9935861572890026,0.33540314920009323,0.8975915605095541,0.9849721337579618
23,23.0,157.05099844932556,0.2008324788354547,0.19161870451096227,0.9315656969309463,0.9940856777493606,0.3473268648621383,0.8940087579617835,0.9864649681528662
24,24.0,156.74300074577332,0.2004386198795055,0.18318559459227202,0.9354619565217391,0.9944653132992327,0.35108606868488773,0.8946058917197452,0.9845740445859873
